listing_id,listing_name,country,city,listing_type,room_type,currency,guests,bedrooms,cancellation_policy,rating_overall,ttm_revenue,ttm_avg_rate
18293795,Homely Apartment + Great Facilities + Free Parking,malaysia,kuala lumpur,Entire condo,entire_home,MYR,8.0,1.0,Firm,4.85,9114.0,39.6
18334014,"Luxury 2BR, 5 mins from LRT, Bangsar| Nadi Bangsar",malaysia,kuala lumpur,Entire rental unit,entire_home,MYR,6.0,2.0,Strict,4.7,11974.0,69.2
18335214,Clean & Cosy Studio Room in City Centre,malaysia,kuala lumpur,Entire rental unit,entire_home,MYR,2.0,,Flexible,4.6,1426.0,27.9
18480473,#0-02 SwissGarden 2BR Bukit Bintang KL/TRX/118,malaysia,kuala lumpur,Entire condo,entire_home,MYR,6.0,2.0,Flexible,4.54,6231.0,60.9
18483236,#1-14 SwissGarden 1BR Bukit Bintang Kuala Lumpur,malaysia,kuala lumpur,Entire condo,entire_home,MYR,4.0,1.0,Flexible,4.7,1669.0,41.2
18534483,Taeler's Home Stay near Desa Park City 乐居休闲民宿,malaysia,kuala lumpur,Entire condo,entire_home,MYR,6.0,3.0,Strict,4.65,2233.0,56.2
18577640,Soho Suites KLCC~Modern 3 Bedrooms with Dryer~2K2S,malaysia,kuala lumpur,Entire rental unit,entire_home,MYR,6.0,3.0,Flexible,4.95,9012.0,100.6
18625049,"Sky Pool 1room Platinum Suite KLCC, Subway C3",malaysia,kuala lumpur,Entire rental unit,entire_home,MYR,5.0,1.0,Strict,4.65,8980.0,45.5
18708388,1BR Deluxe Suite Bukit Bintang City Center,malaysia,kuala lumpur,Entire serviced apartment,entire_home,MYR,5.0,2.0,Moderate,4.6,3762.0,35.9
18726430,"CozyHome #3, Studio, 350m to KLCC Twin Tower",malaysia,kuala lumpur,Entire rental unit,entire_home,MYR,6.0,,Strict,4.8,4779.0,49.7
18768510,Platinum KLCC Suite#2BED2BATHROOM,malaysia,kuala lumpur,Room in serviced apartment,hotel_room,MYR,6.0,2.0,Moderate,4.65,6351.0,84.8
18816063,#1-16 5mins walk BukitBintang/KL Tower View 1BR KL,malaysia,kuala lumpur,Entire condo,entire_home,MYR,4.0,1.0,Flexible,4.7,423.0,40.5
18862932,"To Love, To Receive A Glimpse of Heaven",malaysia,kuala lumpur,Entire rental unit,entire_home,MYR,4.0,1.0,Firm,4.73,7603.0,37.8
18958413,PROMO 1 Bedroom Suite Near Changkat,malaysia,kuala lumpur,Entire condo,entire_home,MYR,2.0,1.0,Flexible,4.65,3377.0,26.8
18963185,Big Aloha Setapak 3 BedRoom 10pax stay WIFI,malaysia,kuala lumpur,Entire rental unit,entire_home,MYR,10.0,3.0,Moderate,4.72,4082.0,55.2
18973094,⭐Awesome Studio Loft next to Shopping Mall,malaysia,kuala lumpur,Entire condo,entire_home,MYR,3.0,,Flexible,4.91,6096.0,26.9
19068606,Amazing 2BR +2BTH Suite KL CITY Kuala Lumpur Internet-famous 2 room 2 bathroom suite,malaysia,kuala lumpur,Entire serviced apartment,entire_home,MYR,6.0,2.0,Firm,4.77,14344.0,82.0
19103337,PANDORA SPRING VILLA [EVENT SPACE],malaysia,kuala lumpur,Entire villa,entire_home,MYR,16.0,6.0,Strict,4.32,6446.0,625.1
19168422,12-IB—3BDR Apartment - at Suasana Bukit Ceylon,malaysia,kuala lumpur,Entire serviced apartment,entire_home,MYR,6.0,3.0,Moderate,4.73,15310.0,91.7
19206442,KL City Suite • Walk to Train • Parking & Pool,malaysia,kuala lumpur,Entire condo,entire_home,MYR,3.0,2.0,Moderate,4.94,4568.0,39.8
19229203,Fancy A KLCC 5 Star Home For 1/4 The Price?,malaysia,kuala lumpur,Entire condo,entire_home,MYR,2.0,1.0,Flexible,4.81,2639.0,65.6
19233219,Cielo Suite @ Bukit Bintang |MRT |Pavilion |KLCC,malaysia,kuala lumpur,Entire rental unit,entire_home,MYR,2.0,1.0,Flexible,4.67,5435.0,31.2
19233345,Spacious Cozy (4-5 pax )  Cgkt Bukit Bintang,malaysia,kuala lumpur,Entire condo,entire_home,MYR,5.0,1.0,Flexible,4.82,7576.0,43.7
19233584,Luxe Studio |Pavilion |Bukit Bintang |MRT |TRX&KLCC,malaysia,kuala lumpur,Entire condo,entire_home,MYR,3.0,1.0,Flexible,4.79,7515.0,35.7
19254539,Luxury Pool Apartment in Kuala Lumpur City Center,malaysia,kuala lumpur,Entire rental unit,entire_home,MYR,6.0,3.0,Flexible,,14744.0,464.7
19300458,MVB49#8pax Family Suite 3 Rooms Velocity Mall IKEA,malaysia,kuala lumpur,Entire condo,entire_home,MYR,9.0,3.0,Moderate,4.96,6499.0,59.0
19333818,"2 - 4 pax 1 Bedroom Cozy Condo, nearby KLCC",malaysia,kuala lumpur,Entire rental unit,entire_home,MYR,5.0,1.0,Moderate,4.92,3497.0,43.8
19464201,"Amazing Master Bedroom, Northpoint, Midvalley City",malaysia,kuala lumpur,Private room in condo,private_room,MYR,2.0,1.0,Moderate,4.25,551.0,22.3
19509774,A Place Like Home | 2 bedrooms l 6 pax *sanitized*,malaysia,kuala lumpur,Entire condo,entire_home,MYR,6.0,2.0,Flexible,4.87,4439.0,48.7
